Nr.,Articol,Clasa,Cod extern,Cod,Pret,UM,Stoc,PRODUCATOR,Data
crt.,,articol,,articol,vanzare,,curent,,adaugarii
1682,*CU MUFA REDUSA 22-18 INT-INT,1,9007767470047,3865,4.16,BUC,10.00,EBAL,18.01.2010
1683,*CU MUFA REDUSA 28-15 INT-EXT,1,9007767470108,3871,8.71,BUC,10.00,EBAL,18.01.2010
1684,*CU MUFA REDUSA 28-15 INT-INT,1,9007767470054,3866,8.71,BUC,14.00,EBAL,18.01.2010
1685,*CU MUFA REDUSA 28-18 INT-EXT,1,9007767470115,3872,7.74,BUC,6.00,EBAL,18.01.2010
1686,*CU MUFA REDUSA 28-18 INT-INT,1,9007767470061,3867,8.71,BUC,11.00,EBAL,18.01.2010
1687,*CU MUFA REDUSA 35-22 INT-INT,1,9007767496115,8416,31.00,Buc,1.00,EBAL,21.01.2013
1688,*CU OCOLIRE 15 INT,1,9007767470580,3921,10.70,BUC,3.00,EBAL,19.01.2010
1689,*CU SEMIOLANDEZ 18X1/2,1,9007767470993,3965,6.60,Buc,9.00,EBAL,21.01.2010
1690,*CU TEU EGAL 15X15X15,1,9007767470320,3894,3.10,BUC,22.00,EBAL,18.01.2010
1691,*CU TEU REDUS 15X18X15,1,9007767470368,3898,13.30,BUC,11.00,EBAL,18.01.2010
1692,*CU TEU REDUS 18X15X15,1,9007767470375,3899,8.60,BUC,11.00,EBAL,18.01.2010
1693,*CU TEU REDUS 18X18X15,1,9007767470399,3901,5.77,BUC,12.00,EBAL,18.01.2010
1694,*CU TEU REDUS 22X15X15,1,9007767476865,5079,12.50,Buc,10.00,EBAL,09.09.2010
1695,*CU TEU REDUS 22X22X18,1,9007767522012,12587,13.50,BUC,8.00,EBAL,17.04.2018
1696,*CU TEU REDUS 28X18X28,1,9007767480763,5637,20.32,Buc,5.00,EBAL,28.03.2011
1697,"*ELEM.FILTRU SITA CTO-5""",1,9007767466316,1536,15.48,Buc,1.00,EBAL,26.09.2008
1698,*PE CUPLA 25-3/4 EXT ALAMA GEBO,1,9007767466729,1665,37.00,Buc,0.00,EBAL,29.09.2008
1699,*PEX TEU 16-1/2 EXT 16 AL CROMAT,1,9007767467184,1633,7.74,Buc,19.00,EBAL,29.09.2008
1700,*PEX TEU 26-26-26 AL CROMAT,1,9007767467252,1636,17.42,Buc,1.00,EBAL,29.09.2008
1701,*PLUTITOR WC,1,9007767471723,4081,21.00,Buc,1.00,EBAL,18.03.2010
1702,*PRELUNGITOR 1/2X25,1,9007767475844,4841,6.00,Buc,5.00,EBAL,20.07.2010
1703,*PRELUNGITOR 1/2X50,1,9007767463544,3429,13.30,Buc,11.00,EBAL,04.09.2009
1704,*SET GARNITURA BAT. 6555,1,9007767478340,5348,2.42,Buc,7.00,EBAL,17.11.2010
1705,*SORB 1/2,1,9007767460307,2395,7.00,Buc,0.00,EBAL,01.04.2009
1706,*STUT ROBINET DUBLU SERVICE 1/2-3/4,1,9007767475387,4765,1.94,Buc,5.00,EBAL,21.06.2010
1707,*USITA VIZITARE 150X150,1,9007767468662,1598,20.00,ML,11.00,EBAL,26.09.2008
1708,*USITA VIZITARE 150X200,1,9007767468679,1599,21.50,ML,11.00,EBAL,26.09.2008
1709,*USITA VIZITARE 200X250,1,9007767468693,1868,19.00,Buc,11.00,EBAL,24.10.2008
1710,*VENTIL ALAMA 1-1/2+DOP,1,9007767474625,4651,9.68,Buc,1.00,EBAL,22.05.2010
1711,CAPAT WHITE,1,9007767498027,8703,5.50,Buc,2.00,EGGER,30.04.2013
1712,CLIPS PLINTA,1,9007767496016,8398,1.20,Buc,0.00,EGGER,21.12.2012
1713,COLT EXT 370,1,9007767530499,13802,5.50,BUC,0.00,EGGER,26.11.2019
1714,FOLIE PARCHET 2MM VERDE 15MP/BAX,1,9007767530697,13823,109.70,PAC,6.00,EGGER,13.12.2019
1715,PARCHET EGGER 10MM EPL 115 1.2209MP,1,9007767520933,12416,78.30,M2,0.00,EGGER,15.02.2018
1716,PARCHET EGGER 10MM EPL 154 1.7455MP,1,9007912541684,16112,78.30,M2,0.00,EGGER,24.07.2023
